S.No.,Name,CMP Rs.,P/E,Mar Cap Rs.Cr.,Div Yld %,NP Qtr Rs.Cr.,Qtr Profit Var %,Sales Qtr Rs.Cr.,Qtr Sales Var %,ROCE %,Down %
1.,360 ONE,1091.35,43.05,42438.99,1.51,245.49,32.05,862.76,56.87,14.47,10.24
2.,3B Blackbio,1670.00,33.27,1433.31,0.18,14.87,93.27,29.15,51.98,20.95,12.57
3.,Aaron Industries,339.00,49.18,355.05,0.29,1.82,51.67,18.29,30.64,19.83,3.14
4.,Aayush Wellness,139.85,440.59,453.81,0.00,0.92,228.57,14.28,2280.00,12.65,0.00
5.,Ace Soft. Exp.,464.00,51.02,296.96,0.00,1.33,-11.22,5.85,195.45,2.56,9.02
6.,ADF Foods,306.95,43.03,3364.49,0.39,19.67,31.75,161.39,29.51,19.54,5.48
7.,Adit.Birla Money,165.60,12.47,931.05,0.00,26.69,123.91,125.66,30.39,12.61,12.42
8.,Aditya AMC,858.40,27.65,24762.69,1.57,242.34,36.08,424.21,26.63,34.89,1.31
9.,Aditya Vision,499.00,67.60,6443.67,0.18,12.21,26.79,375.85,20.03,21.75,13.21
10.,Aegis Logistics,852.00,51.23,29910.81,0.77,152.02,-0.80,1750.42,41.75,14.74,12.16
11.,Affle India,1584.60,64.85,22234.67,0.00,91.99,37.75,542.88,25.87,16.25,7.60
12.,Ajmera Realty,960.90,27.73,3480.95,0.42,36.29,56.90,199.96,37.58,11.72,3.91
13.,Alacrity Sec.,166.90,30.66,403.23,0.00,9.27,42.00,325.61,160.63,43.47,11.22
14.,Altius Telecom,158.75,47.54,48377.48,,242.80,-29.50,3492.60,24.87,7.27,2.01
15.,Amal,444.60,63.76,549.64,0.00,5.53,223.39,30.06,35.41,6.58,9.04
16.,Amber Enterp.,6527.40,118.71,22057.87,0.00,20.96,440.71,1684.70,81.73,10.18,8.82
17.,Ami Organics,2142.10,93.72,8754.48,0.14,37.56,387.34,246.73,43.15,15.99,1.95
18.,Anand Rathi Wea.,4123.00,65.40,17249.27,0.34,76.31,32.39,242.48,32.81,50.74,5.91
19.,Anik Industries,99.96,,278.09,0.00,0.98,304.17,27.80,86.83,2.80,5.80
20.,ARC Finance,2.55,36.10,231.78,0.00,3.38,1590.00,12.37,2477.08,0.69,12.37
21.,Aries Agro,335.00,15.58,436.06,0.30,18.76,51.66,193.66,22.41,14.79,2.25
22.,Arih.Found.Hsg.,654.30,18.73,562.70,0.15,10.56,810.34,48.29,427.18,10.83,4.08
23.,Artificial Elect,291.90,1238.07,495.23,0.00,0.21,162.50,3.62,905.56,42.11,0.00
24.,Arvind SmartSp.,955.65,63.61,4357.08,0.26,42.60,370.95,265.58,265.46,15.94,4.43
25.,Ashika Credit,701.80,61.08,1592.32,0.00,9.27,125.00,17.07,168.40,17.92,0.00
26.,ASK Automotive,449.95,40.05,8883.77,0.22,67.28,63.14,973.86,22.67,24.24,7.28
27.,Assoc.Alcohols,939.90,31.19,1804.69,0.22,15.32,13.90,254.63,49.51,14.47,9.42
28.,Avalon Tech,866.85,199.52,5746.10,0.00,17.48,140.11,275.02,36.83,6.22,3.44
29.,Avonmore Capital,15.93,38.54,369.97,0.00,18.87,-38.98,54.29,120.15,6.36,11.94
30.,AYM Syntex,244.95,65.58,1242.05,0.00,3.94,1131.25,403.52,21.05,6.63,7.53
31.,Bajaj Finance,6705.00,26.99,414944.02,0.54,4013.74,12.64,17090.27,27.71,11.92,14.37
32.,Bajaj Holdings,10651.15,15.99,118433.03,1.23,1510.43,-3.67,279.07,24.18,13.07,6.16
33.,Banco Products,1127.55,23.41,8050.53,1.77,138.70,109.80,894.93,23.51,26.96,5.22
34.,Bella Casa Fashi,535.05,52.98,716.30,0.33,4.61,77.99,106.81,66.42,14.25,11.40
35.,BF Investment,729.65,5.22,2748.24,0.00,36.02,-48.01,18.58,27.17,10.63,11.98
36.,Bhartiya Intl.,829.50,2470.77,1013.01,0.00,7.67,37.46,295.91,29.98,6.61,0.05
37.,BITS,29.10,134.53,325.56,0.00,0.02,100.00,0.27,28.57,12.66,0.00
38.,BSE,4686.80,77.07,63448.19,0.32,345.77,192.01,813.30,124.66,19.97,6.07
39.,C D S L,1554.55,60.98,32490.10,0.61,161.96,48.79,322.26,55.45,40.18,7.40
40.,Cams Services,4546.90,56.05,22401.17,1.02,115.22,41.58,341.90,34.09,49.77,8.51
41.,Capacit'e Infra.,392.30,18.60,3333.81,0.00,44.94,124.80,517.97,22.86,16.14,5.47
42.,CARE Ratings,1477.65,38.62,4416.77,1.22,46.88,31.05,117.37,21.70,20.59,5.94
43.,Cartrade Tech,1291.50,65.80,6112.31,0.00,30.73,100.87,154.21,28.50,4.20,3.36
44.,CCL Products,745.30,36.35,9955.20,0.60,73.95,21.51,738.20,21.50,12.39,12.83
45.,Ceinsys Tech,1538.20,55.20,2513.32,0.16,11.65,150.00,90.04,54.52,22.44,0.00
46.,Choice Intl.,521.30,67.67,10379.15,0.00,46.45,56.39,247.39,29.56,24.84,6.07
47.,CIAN Agro,343.20,229.23,960.48,0.00,-0.03,-105.88,125.01,452.41,11.00,0.00
48.,Cochin Minerals,384.00,18.59,300.67,2.08,7.06,122.71,89.73,77.02,26.61,7.45
49.,Coforge,8599.40,72.83,57408.52,0.88,233.60,11.71,3062.30,34.54,28.60,0.47
50.,Deep Industries,507.35,23.45,3243.50,0.48,41.55,30.82,130.62,28.92,10.26,5.17
51.,Delton Cables,766.90,62.75,662.60,0.20,8.49,-41.14,174.92,94.64,18.71,5.86
52.,Dev Information,172.05,22.17,387.48,0.15,8.11,394.51,35.94,28.59,22.85,7.00
53.,Dhunseri Invest.,2461.45,15.79,1501.87,0.10,82.65,16.53,160.06,163.21,4.89,8.80
54.,Divi's Lab.,6145.00,88.83,163101.89,0.49,510.00,46.55,2338.00,22.47,16.48,2.09
55.,Dixon Technolog.,15723.45,168.50,94463.93,0.03,411.70,119.30,11534.08,133.33,29.16,1.73
56.,DJ Mediaprint,130.00,60.61,423.02,0.05,1.25,316.67,18.95,99.26,18.96,8.13
57.,DLF,823.45,56.58,203766.13,0.61,1381.22,122.08,1975.02,46.55,5.74,14.90
58.,Dodla Dairy,1229.05,34.19,7404.89,0.24,63.38,45.37,997.62,29.94,22.08,8.70
59.,Dr Agarwal's Eye,5039.85,46.91,2368.73,0.10,14.15,12.39,102.19,21.52,18.36,12.18
60.,Dynamic Cables,910.45,47.25,2208.57,0.06,13.85,172.10,234.15,52.53,24.09,6.14
61.,Dynemic Products,431.05,43.01,514.51,0.00,3.89,208.36,97.85,49.64,4.94,12.38
62.,EFC (I),545.00,30.64,2712.83,0.00,36.56,248.55,166.44,70.25,18.70,12.10
63.,Ekansh Concept,146.15,,221.13,0.00,1.87,379.49,17.87,211.87,8.19,6.76
64.,Emerald Finance,102.54,55.19,336.08,0.10,2.06,116.84,5.00,54.32,12.58,0.10
65.,Emk.Global Fin.,298.35,11.83,740.94,0.51,25.91,177.52,108.02,53.13,17.08,6.74
66.,eMudhra,882.30,90.43,7306.48,0.14,22.30,19.38,141.22,46.65,17.66,11.14
67.,ERIS Lifescience,1467.45,57.44,19944.54,0.00,96.35,-25.12,741.17,46.68,11.27,3.59
68.,Everest Kanto,212.35,20.26,2385.01,0.33,38.60,46.55,367.28,22.72,11.85,4.43
69.,Evexia Lifecare,3.96,580.80,743.42,0.00,0.24,9.09,21.23,51.43,0.30,10.00
70.,Excel Realty,1.70,106.40,238.33,0.00,1.10,400.00,4.09,476.06,0.68,0.00
71.,Federal Bank,213.00,12.66,52285.85,0.56,1114.80,10.28,7005.66,20.97,6.93,0.28
72.,Fine Organic,5225.00,41.58,16067.93,0.19,113.11,42.51,595.47,26.23,29.04,12.32
73.,Firstsour.Solu.,356.00,46.91,25127.88,0.98,138.21,9.25,1925.38,25.03,15.42,8.92
74.,Fluidomat,759.00,21.79,374.19,0.72,6.17,75.28,19.00,29.69,31.99,2.32
75.,Frontier Springs,2341.20,40.92,922.43,0.06,7.29,155.79,52.24,59.51,20.51,2.92
76.,Ganesh Housing,1202.85,20.68,10042.80,0.91,158.48,84.26,237.22,45.22,45.01,2.21
77.,Ganesha Ecosphe.,2285.70,68.93,5789.17,0.13,27.11,868.21,386.81,38.92,7.92,7.46
78.,Garware Hi Tech,4912.90,37.22,11399.59,0.20,104.26,127.10,620.58,56.27,13.96,1.15
79.,Garware Tech.,4720.00,41.57,9372.94,0.06,65.89,25.77,420.59,28.11,23.07,1.36
80.,GE Vernova T&D,1905.00,124.81,49275.79,0.10,144.62,289.08,1107.77,58.76,23.14,3.98
81.,GeeCee Vent.,412.55,16.98,857.02,0.49,12.55,182.66,29.22,238.59,7.18,13.60
82.,Genesys Intl.,822.50,69.46,3258.57,0.00,11.09,436.06,72.02,116.99,8.12,4.91
83.,Genus Power,424.30,88.47,12901.96,0.14,83.08,68.90,486.88,88.01,11.34,10.96
84.,Godrej Propert.,2942.20,59.02,81817.16,0.00,333.79,399.69,1093.23,218.73,5.74,13.53
85.,Halder Venture,890.00,16.61,281.31,0.11,3.83,101.99,174.76,44.56,10.57,6.76
86.,Harshil Agrotech,11.89,101.51,604.01,0.00,4.80,2900.00,24.05,737.98,16.41,12.96
87.,HDFC AMC,4351.75,42.06,93021.17,1.61,576.88,31.84,887.21,37.96,37.72,10.53
88.,HDFC Life Insur.,687.80,87.60,148332.02,0.29,435.18,15.07,28496.97,23.14,6.61,9.64
89.,Hind Rectifiers,1149.25,64.93,1971.82,0.10,10.19,156.03,165.84,25.66,15.92,10.18
90.,ICICI Pru Life,690.55,114.02,99874.74,0.09,250.99,2.92,25158.31,44.69,8.75,13.33
91.,ICICI Securities,877.05,13.84,28493.46,3.30,529.04,24.88,1706.65,36.64,19.74,4.92
92.,ICRA,6662.45,42.63,6448.27,1.50,37.11,15.58,126.12,20.29,21.38,13.87
93.,Igarashi Motors,731.00,101.67,2303.04,0.14,7.79,433.56,216.07,21.09,4.74,10.53
94.,Indian Hotels Co,797.90,79.31,113540.14,0.22,582.71,87.82,1826.12,27.42,15.11,2.06
95.,Indian Wood Prod,37.15,45.35,237.65,0.27,1.96,206.25,60.02,23.96,2.96,8.70
96.,Indl. Inv. Trust,380.00,14.39,856.70,0.00,9.00,492.11,14.48,140.93,14.37,11.59
97.,Indl.& Prud.Inv.,7496.65,23.77,1256.32,1.20,18.22,16.20,3.83,139.38,7.23,9.68
98.,Indo Tech.Trans.,2620.00,46.90,2808.35,0.00,17.72,150.64,146.23,52.62,34.49,8.65
99.,Integ. Industrie,39.43,17.12,808.62,0.00,14.40,809.23,186.60,299.23,35.79,12.26
100.,IRIS Business,389.10,59.37,778.29,0.00,3.89,189.47,30.85,28.70,26.75,12.71
101.,J.G.Chemicals,432.40,30.84,1697.16,0.00,17.15,231.23,212.08,38.92,13.63,7.45
102.,Jagsonpal Pharma,675.60,66.68,1784.36,0.74,11.46,53.41,74.69,29.15,16.99,1.63
103.,Jash Engineering,583.30,46.98,3649.29,0.25,16.14,87.47,139.58,46.69,25.07,7.82
104.,Jaysynth Orgo,21.33,22.86,287.75,0.23,4.17,4270.00,59.62,17435.29,11.83,1.43
105.,Jindal Photo,883.00,2.52,903.78,0.00,124.69,172.13,0.81,80.00,12.34,9.67
106.,Jubilant Food.,632.20,171.01,41692.53,0.19,66.53,-29.16,1954.72,42.82,11.20,11.64
107.,Jupiter Life Lin,1536.05,57.43,10039.91,0.06,50.30,37.02,273.10,20.27,22.16,7.13
108.,K.P. Energy,591.50,52.58,3940.55,0.05,21.80,165.21,196.64,183.42,39.07,9.97
109.,Kalyan Jewellers,702.90,115.75,72428.93,0.17,130.33,-3.37,6065.48,37.40,14.04,10.60
110.,Kapston Services,284.75,45.45,577.71,0.00,3.94,-9.01,168.11,30.94,12.66,10.74
111.,Kaynes Tech,5896.60,202.25,37733.32,0.00,62.57,146.24,432.84,48.46,11.22,2.54
112.,KFin Technolog.,1100.40,63.32,18914.93,0.52,89.32,45.52,280.47,34.22,30.26,7.45
113.,Kiran Vyapar,278.15,9.22,758.91,0.36,33.29,298.21,41.70,288.99,4.14,9.49
114.,Kirl.Pneumatic,1618.75,53.63,10492.54,0.40,67.53,234.64,430.67,52.76,21.72,6.73
115.,Kitex Garments,668.70,45.32,4447.21,0.22,36.73,176.79,215.88,61.15,6.92,1.65
116.,KRN Heat Exchan,784.90,122.33,4874.97,0.00,12.10,40.53,98.94,38.98,42.09,4.51
117.,Krsnaa Diagnost.,1019.25,45.68,3296.39,0.25,21.97,94.25,178.72,21.70,10.11,1.66
118.,Kwality Pharma,869.90,26.49,902.62,0.00,8.46,36.01,90.03,29.26,15.93,9.49
119.,Lactose (India),176.85,23.86,222.64,0.00,2.03,150.62,30.45,24.64,18.02,11.58
120.,Larsen & Toubro,3753.25,38.32,515919.62,0.75,4098.84,5.36,61554.58,20.64,13.44,4.95
121.,Likhami Consult.,683.75,2721.33,680.33,0.00,0.03,200.00,0.12,33.33,0.61,0.00
122.,Lloyds Metals,965.25,34.36,50420.22,0.10,301.44,30.35,1364.43,25.03,78.27,7.28
123.,Madhuveer Com,149.60,,366.23,0.03,-0.65,-225.00,0.64,611.11,13.49,12.64
124.,Magna Electrocas,1028.00,20.66,435.06,0.49,6.72,78.25,45.64,23.99,20.30,6.18
125.,Mangal Credit,144.00,22.36,277.80,0.41,3.22,22.43,11.66,53.42,10.26,14.87
126.,Manorama Indust.,1155.85,114.25,6876.57,0.03,26.71,210.22,195.42,65.99,13.38,4.47
127.,Marksans Pharma,315.70,41.35,14311.02,0.19,97.76,15.80,641.92,20.83,20.61,3.98
128.,Max Financial,1170.30,117.24,40373.20,0.00,139.34,-23.89,13372.39,31.56,9.77,10.75
129.,Max Healthcare,973.95,89.42,94695.00,0.15,281.81,1.85,1707.46,25.26,16.00,12.88
130.,Mehai Technology,174.05,349.66,430.08,0.00,0.80,247.83,10.17,166.93,5.23,0.00
131.,Mini Diamonds(I),200.05,72.99,471.50,0.00,2.05,459.65,103.99,61.80,10.10,9.56
132.,Multi Comm. Exc.,6117.90,89.85,31182.41,0.12,153.62,905.56,285.58,72.96,7.15,11.01
133.,Muthoot Finance,1943.65,17.68,78060.90,1.23,1251.14,26.25,4117.44,34.57,13.15,6.50
134.,Nahar Capital,327.00,12.93,546.90,0.46,14.32,16.99,14.54,20.17,5.34,12.80
135.,Nalwa Sons Invst,8713.10,53.91,4478.04,0.00,35.05,75.26,59.75,124.20,0.73,12.64
136.,National High,131.00,67.89,17189.83,,74.50,-0.69,566.77,140.25,2.82,1.13
137.,Natl. Aluminium,251.35,16.19,46154.76,1.99,1062.18,414.97,4001.48,31.48,16.95,4.47
138.,NBI Indl. Fin.,2705.95,92.33,664.80,0.02,3.50,2087.50,5.47,619.74,0.46,2.63
139.,Netweb Technol.,2875.30,167.35,16205.40,0.07,25.72,69.88,251.06,73.17,38.43,3.51
140.,Nippon Life Ind.,693.35,33.27,43902.18,2.38,360.10,47.33,571.30,43.73,36.24,7.42
141.,Nuvama Wealth,6586.70,28.20,23551.48,2.20,257.31,77.50,1051.35,42.99,16.54,12.07
142.,Panorama Studios,226.75,41.79,1555.82,0.09,5.03,62.26,82.14,57.84,45.59,12.43
143.,Par Drugs & Che.,292.50,19.70,359.91,0.00,8.60,75.87,34.66,33.87,25.00,10.00
144.,PB Fintech.,1804.70,472.94,81956.34,0.00,50.98,350.35,1167.23,43.81,1.75,8.23
145.,Pearl Global Ind,1169.80,26.87,5369.39,0.74,55.63,52.01,1201.92,25.12,21.39,2.11
146.,Persistent Sys,5916.60,74.87,92295.40,0.44,325.00,23.45,2897.15,20.13,29.17,0.51
147.,PG Electroplast,682.45,93.15,17863.07,0.03,19.33,56.27,671.30,45.80,18.72,5.08
148.,Pitti Engg.,1395.50,46.54,4943.96,0.11,34.05,54.70,379.38,25.37,20.07,4.26
149.,Pix Transmission,2286.10,27.22,3115.24,0.31,40.53,95.89,159.06,27.89,22.64,6.90
150.,Platinum Industr,421.60,44.19,2314.49,0.00,14.53,24.74,99.64,63.59,27.15,13.04
151.,Polo Queen Ind.,79.13,748.39,2656.79,0.00,0.67,272.22,23.25,77.35,1.83,0.33
152.,Poly Medicure,3002.70,103.19,30428.61,0.10,87.45,40.62,420.02,24.53,23.62,10.58
153.,Polycab India,6761.10,56.69,101735.60,0.44,445.21,3.35,5498.42,30.37,31.33,11.12
154.,Power & Instrum.,322.50,43.91,406.19,0.06,3.89,179.86,54.93,125.77,16.97,0.00
155.,Premier Energies,1092.20,213.17,49235.90,0.00,205.95,289.61,1527.22,120.16,25.23,13.86
156.,R&B Denims,81.00,32.18,728.78,0.00,4.64,30.34,93.35,40.67,18.64,11.86
157.,Radico Khaitan,2330.50,107.67,31133.17,0.13,82.19,32.82,1116.30,20.68,13.16,7.72
158.,Radix Industries,166.75,110.24,250.24,0.30,0.42,-6.67,13.33,35.61,16.85,7.49
159.,Raghav Product.,1685.30,124.94,3863.15,0.03,8.75,37.80,49.12,51.32,22.71,5.27
160.,Raghuvir Synth,134.00,54.72,519.25,0.00,4.19,444.16,83.84,49.39,15.41,13.32
161.,Rainbow Child.,1633.50,71.63,16582.72,0.18,79.01,25.37,417.46,25.48,19.08,3.27
162.,Ratnabhumi Dev.,174.40,87.84,238.93,0.00,0.52,766.67,80.49,36486.36,8.35,3.11
163.,Ratnaveer Precis,260.55,31.81,1261.71,0.00,12.28,53.88,229.99,61.41,12.87,4.90
164.,Riddhi Siddhi Gl,680.00,6.11,484.82,0.44,13.34,47.07,48.90,169.72,4.59,10.64
165.,Safari Inds.,2505.00,76.55,12261.64,0.11,29.66,-25.40,457.79,23.72,31.02,7.63
166.,Salzer Electron.,1023.95,28.24,1806.24,0.25,26.20,179.32,336.40,22.92,12.75,14.60
167.,Sasken Technol.,2161.95,50.54,3269.00,1.15,12.28,-33.35,135.03,31.72,12.01,3.40
168.,Servotech Power,175.01,191.13,3901.05,0.03,11.38,278.07,182.34,171.66,10.92,14.80
169.,Sh. Rama Multi.,43.95,39.05,583.89,0.00,5.29,106.64,52.80,20.63,9.03,2.33
170.,Shaily Engineer.,1081.25,67.98,4974.98,0.09,21.92,102.40,192.00,21.85,14.12,8.98
171.,Shakti Pumps,828.00,30.28,9957.90,0.08,101.42,1636.64,634.59,315.36,31.40,3.55
172.,Sharda Cropchem,801.00,33.27,7244.66,0.38,42.42,253.77,776.89,33.77,4.27,3.81
173.,Shilchar Tech.,8345.90,59.04,6365.25,0.15,32.73,34.14,130.56,22.86,74.65,0.03
174.,Shraddha Prime,195.45,31.24,394.82,0.10,7.36,239.07,37.60,236.31,8.57,8.24
175.,Shyam Metalics,818.80,27.35,22860.95,0.55,215.68,-55.29,3634.02,23.58,10.79,14.43
176.,SJS Enterprises,1156.50,44.48,3619.53,0.17,27.71,69.38,105.55,21.15,18.83,9.36
177.,Skipper,543.00,51.97,5571.85,0.02,33.94,78.82,1109.74,43.68,20.33,12.31
178.,Sky Gold,4140.00,75.35,6064.00,0.00,36.71,404.95,768.85,94.17,18.57,0.40
179.,Softtech Enginee,391.55,178.39,499.51,0.00,0.39,-60.20,22.95,20.03,6.40,14.73
180.,Sterling Tools,609.20,33.41,2195.89,0.33,17.47,45.22,283.98,35.12,14.69,4.79
181.,Stratmont Indus.,192.85,361.56,549.58,0.00,0.44,300.00,35.80,211.03,9.30,0.00
182.,Summit Securitie,3200.25,30.70,3491.42,0.00,75.15,96.11,106.68,100.19,1.39,11.98
183.,Systematix Corp.,290.25,53.06,3767.52,0.03,22.14,1130.00,36.67,82.26,48.35,0.00
184.,T R I L,967.50,120.29,14536.28,0.02,45.91,2710.56,461.54,79.55,14.81,7.86
185.,Tejas Networks,1301.15,49.02,22282.69,0.00,275.18,2277.06,2811.26,610.00,3.68,12.97
186.,Tembo Global,715.25,29.58,794.20,0.35,14.04,196.83,163.85,50.31,23.94,2.11
187.,The Anup Enginee,3681.70,61.67,7359.60,0.41,32.31,48.76,187.87,34.34,22.58,3.68
188.,The Invest.Trust,208.60,25.97,1098.29,0.00,20.42,97.48,111.19,45.35,6.63,12.22
189.,Tips Music,878.35,73.80,11226.76,0.69,48.16,21.46,80.61,32.43,103.80,7.54
190.,Tirupati Forge,49.95,56.23,517.88,0.00,2.64,72.55,32.28,36.49,18.32,9.92
191.,Triveni Turbine,763.90,76.75,24183.59,0.34,91.00,42.03,501.10,29.22,38.32,9.49
192.,Tyche Industries,198.50,14.93,203.46,1.26,3.99,43.63,20.54,28.05,13.66,13.70
193.,Univastu India,241.59,29.24,274.56,0.00,4.05,106.71,42.39,72.81,23.66,12.50
194.,UTI AMC,1289.75,19.51,16427.87,1.86,263.08,30.83,538.40,33.25,22.60,7.92
195.,V2 Retail,1273.00,106.59,4403.23,0.00,-2.51,55.81,380.01,64.28,10.85,14.22
196.,Vantage Knowledg,185.25,1028.59,2108.61,0.00,0.86,207.14,1.17,67.14,20.51,0.00
197.,Varun Beverages,602.00,80.07,203481.89,0.17,628.82,23.66,4804.68,24.14,28.82,11.84
198.,Vedant Fashions,1423.75,85.74,34546.12,0.60,66.90,37.32,267.95,22.74,30.74,4.31
199.,Vijaya Diagnost.,1159.25,88.99,11933.03,0.09,42.13,25.87,182.95,31.75,19.51,7.26
200.,Vimta Labs,866.15,37.96,1931.34,0.23,14.59,112.47,83.14,29.12,16.82,3.44
201.,Vintron Info.,53.56,10.73,419.67,0.00,22.41,32114.29,359.10,35810.00,146.65,8.32
202.,Virat Industries,479.65,502.10,235.99,0.00,0.39,8.33,11.59,38.14,3.72,10.35
203.,VTM,88.53,15.40,356.14,0.85,9.77,93.85,73.17,54.89,7.33,5.82
204.,Wealth First Por,1466.05,29.65,1562.08,0.55,15.20,48.58,19.47,43.58,56.85,14.53
205.,Windlas Biotech,1042.75,35.56,2177.67,0.53,15.66,11.62,187.00,22.49,18.17,12.98
206.,Worth Investment,16.89,288.55,626.14,0.00,0.59,11.32,1.31,32.32,6.85,13.03
207.,WPIL,636.60,31.55,6217.72,0.63,70.22,83.45,490.89,54.01,20.42,1.76
208.,XPRO India,1217.00,55.51,2697.33,0.16,9.94,4.85,133.98,21.83,15.41,6.23
209.,Yatharth Hospit.,607.45,40.33,5209.01,0.00,30.95,12.14,217.77,27.14,23.88,12.34
210.,Zaggle Prepaid,468.50,81.79,5697.36,0.00,18.56,144.53,302.56,64.22,17.25,5.02
211.,Zen Technologies,1813.80,80.78,16369.44,0.06,63.44,359.46,241.84,263.67,45.97,9.26
212.,Zomato Ltd,273.60,325.89,241808.08,0.00,176.00,388.89,4799.00,68.50,1.14,8.26
